"事故類型及型態子類別名稱","發生年度","發生月份","發生日期","發生時間","天候名稱","光線名稱","速限.第1當事者","道路型態子類別名稱","事故位置子類別名稱","路面狀況.路面鋪裝名稱","路面狀況.路面狀態名稱","道路障礙.視距品質名稱","號誌.號誌動作名稱","車道劃分設施.分向設施大類別名稱","車道劃分設施.分道設施.快慢車道間名稱","車道劃分設施.分道設施.路面邊線名稱","當事者事故發生時年齡","行動電話或電腦或其他相類功能裝置名稱","經度","緯度","縣市","鄉鎮"
"其他","2023",1,5,6,"晴","日間自然光線",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","行車分向線","未繪設快慢車道分隔線","有",49,"未使用",121.460179,25.077731,"新北市","五股區"
"其他","2023",1,5,6,"晴","日間自然光線",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","行車分向線","未繪設快慢車道分隔線","有",30,"未使用",121.460179,25.077731,"新北市","五股區"
"其他","2023",1,5,6,"晴","日間自然光線",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","行車分向線","未繪設快慢車道分隔線","有",13,"未使用",121.460179,25.077731,"新北市","五股區"
"側撞","2023",1,5,10,"晴","日間自然光線",50,"四岔路","交叉路口內","柏油","乾燥","良好","正常","無","未繪設快慢車道分隔線","無",54,"未使用",120.3307,22.7437,"高雄市","楠梓區"
"側撞","2023",1,5,10,"晴","日間自然光線",50,"四岔路","交叉路口內","柏油","乾燥","良好","正常","無","未繪設快慢車道分隔線","無",77,"未使用",120.3307,22.7437,"高雄市","楠梓區"
"同向擦撞","2023",1,5,12,"晴","日間自然光線",50,"直路","機車優先道","柏油","乾燥","良好","無號誌","雙向禁止超車線","快慢車道分隔線","有",41,"未使用",120.599993,24.084451,"彰化縣","彰化市"
"同向擦撞","2023",1,5,12,"晴","日間自然光線",50,"直路","機車優先道","柏油","乾燥","良好","無號誌","雙向禁止超車線","快慢車道分隔線","有",65,"未使用",120.599993,24.084451,"彰化縣","彰化市"
"同向擦撞","2023",1,5,12,"晴","日間自然光線",50,"直路","機車優先道","柏油","乾燥","良好","無號誌","雙向禁止超車線","快慢車道分隔線","有",35,"未使用",120.599993,24.084451,"彰化縣","彰化市"
"同向擦撞","2023",1,5,15,"晴","日間自然光線",50,"直路","快車道","柏油","乾燥","良好","無號誌","中央分向島","快慢車道分隔線","有",69,"未使用",120.237185,23.041044,"臺南市","永康區"
"同向擦撞","2023",1,5,15,"晴","日間自然光線",50,"直路","快車道","柏油","乾燥","良好","無號誌","中央分向島","快慢車道分隔線","有",63,"未使用",120.237185,23.041044,"臺南市","永康區"
"同向擦撞","2023",1,5,15,"晴","日間自然光線",50,"直路","快車道","柏油","乾燥","良好","無號誌","中央分向島","快慢車道分隔線","有",50,"未使用",120.237185,23.041044,"臺南市","永康區"
"撞號誌、標誌桿","2023",1,5,16,"晴","日間自然光線",50,"三岔路","交叉口附近","柏油","乾燥","良好","正常","雙向禁止超車線","未繪設快慢車道分隔線","有",53,"未使用",120.498057,23.661658,"雲林縣","斗南鎮"
"衝出路外","2023",1,5,17,"雨","晨或暮光",50,"直路","快車道","柏油","濕潤","良好","無號誌","雙向禁止超車線","快慢車道分隔線","無",43,"未使用",121.39104,24.968134,"新北市","樹林區"
"其他","2023",1,5,18,"雨","夜間(或隧道、地下道、涵洞)有照明",50,"直路","路肩、路緣","柏油","濕潤","良好","無號誌","雙向禁止超車線","未繪設快慢車道分隔線","無",37,"未使用",121.829479,24.616176,"宜蘭縣","蘇澳鎮"
"其他","2023",1,5,18,"雨","夜間(或隧道、地下道、涵洞)有照明",50,"直路","路肩、路緣","柏油","濕潤","良好","無號誌","雙向禁止超車線","未繪設快慢車道分隔線","無",65,"非駕駛人",121.829479,24.616176,"宜蘭縣","蘇澳鎮"
"穿越道路中","2023",1,5,19,"晴","夜間(或隧道、地下道、涵洞)有照明",50,"直路","快車道","柏油","乾燥","良好","無號誌","雙向禁止超車線","快慢車道分隔線","有",17,"未使用",120.519265,22.706159,"屏東縣","屏東市"
"穿越道路中","2023",1,5,19,"晴","夜間(或隧道、地下道、涵洞)有照明",50,"直路","快車道","柏油","乾燥","良好","無號誌","雙向禁止超車線","快慢車道分隔線","有",75,"非駕駛人",120.519265,22.706159,"屏東縣","屏東市"
"穿越道路中","2023",1,5,19,"晴","夜間(或隧道、地下道、涵洞)有照明",50,"直路","快車道","柏油","乾燥","良好","無號誌","雙向禁止超車線","快慢車道分隔線","有",68,"非駕駛人",120.519265,22.706159,"屏東縣","屏東市"
"撞路樹、電桿","2023",1,6,6,"陰","夜間(或隧道、地下道、涵洞)有照明",50,"彎曲路及附近","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","行車分向線","未繪設快慢車道分隔線","有",36,"未使用",120.610111,24.340831,"臺中市","大甲區"
"路口交岔撞","2023",1,6,12,"晴","日間自然光線",40,"四岔路","交叉路口內","柏油","乾燥","良好","無號誌","行車分向線","未繪設快慢車道分隔線","有",20,"不明",120.526056,23.850588,"彰化縣","北斗鎮"
"路口交岔撞","2023",1,6,12,"晴","日間自然光線",40,"四岔路","交叉路口內","柏油","乾燥","良好","無號誌","行車分向線","未繪設快慢車道分隔線","有",67,"不明",120.526056,23.850588,"彰化縣","北斗鎮"
"撞路樹、電桿","2023",1,6,12,"晴","日間自然光線",50,"直路","路肩、路緣","柏油","乾燥","良好","無號誌","行車分向線","未繪設快慢車道分隔線","有",74,"不明",120.495448,23.081041,"臺南市","南化區"
"其他","2023",1,6,18,"晴","夜間(或隧道、地下道、涵洞)有照明",40,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","雙向禁止超車線","未繪設快慢車道分隔線","有",63,"不明",120.607135,23.917095,"彰化縣","社頭鄉"
"其他","2023",1,6,18,"晴","夜間(或隧道、地下道、涵洞)有照明",40,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","雙向禁止超車線","未繪設快慢車道分隔線","有",22,"不明",120.607135,23.917095,"彰化縣","社頭鄉"
"撞動物","2023",1,7,5,"晴","夜間(或隧道、地下道、涵洞)有照明",50,"四岔路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","行車分向線","未繪設快慢車道分隔線","有",62,"未使用",121.080731,24.957396,"桃園市","新屋區"
"其他","2023",1,7,10,"陰","日間自然光線",60,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","中央分向島","快慢車道分隔線","有",94,"未使用",121.818716,24.73209,"宜蘭縣","壯圍鄉"
"其他","2023",1,7,10,"陰","日間自然光線",60,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","中央分向島","快慢車道分隔線","有",31,"未使用",121.818716,24.73209,"宜蘭縣","壯圍鄉"
"側撞","2023",1,7,17,"晴","晨或暮光",50,"彎曲路及附近","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","雙向禁止超車線","未繪設快慢車道分隔線","有",32,"未使用",120.850316,24.240211,"臺中市","東勢區"
"側撞","2023",1,7,17,"晴","晨或暮光",50,"彎曲路及附近","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","雙向禁止超車線","未繪設快慢車道分隔線","有",22,"未使用",120.850316,24.240211,"臺中市","東勢區"
"路上翻車、摔倒","2023",1,7,19,"晴","夜間(或隧道、地下道、涵洞)有照明",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","雙向禁止超車線","未繪設快慢車道分隔線","有",64,"未使用",120.681763,23.892358,"南投縣","南投市"
"路上翻車、摔倒","2023",1,7,19,"晴","夜間(或隧道、地下道、涵洞)有照明",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","雙向禁止超車線","未繪設快慢車道分隔線","有",36,"不明",120.681763,23.892358,"南投縣","南投市"
"路口交岔撞","2023",1,7,23,"晴","夜間(或隧道、地下道、涵洞)有照明",50,"四岔路","交叉路口內","柏油","乾燥","良好","正常","無","未繪設快慢車道分隔線","無",55,"未使用",121.135153,25.044948,"桃園市","觀音區"
"路口交岔撞","2023",1,7,23,"晴","夜間(或隧道、地下道、涵洞)有照明",50,"四岔路","交叉路口內","柏油","乾燥","良好","正常","無","未繪設快慢車道分隔線","無",25,"未使用",121.135153,25.044948,"桃園市","觀音區"
"其他","2023",1,8,20,"晴","夜間(或隧道、地下道、涵洞)有照明",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","行車分向線","未繪設快慢車道分隔線","有",44,"不明",120.211129,23.556844,"雲林縣","口湖鄉"
"撞號誌、標誌桿","2023",1,8,23,"晴","夜間(或隧道、地下道、涵洞)有照明",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","中央分向島","未繪設快慢車道分隔線","有",33,"未使用",121.452619,25.036297,"新北市","新莊區"
"撞路樹、電桿","2023",1,9,3,"陰","夜間(或隧道、地下道、涵洞)有照明",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","行車分向線","未繪設快慢車道分隔線","有",63,"不明",120.194835,23.654622,"雲林縣","四湖鄉"
"穿越道路中","2023",1,9,10,"晴","日間自然光線",30,"彎曲路及附近","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","雙向禁止超車線","未繪設快慢車道分隔線","有",69,"非駕駛人",121.757853,24.682909,"宜蘭縣","羅東鎮"
"穿越道路中","2023",1,9,10,"晴","日間自然光線",30,"彎曲路及附近","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","雙向禁止超車線","未繪設快慢車道分隔線","有",43,"未使用",121.757853,24.682909,"宜蘭縣","羅東鎮"
"路口交岔撞","2023",1,9,11,"晴","日間自然光線",50,"四岔路","交叉路口內","柏油","乾燥","不良","正常","無","未繪設快慢車道分隔線","無",83,"未使用",120.168455,23.475964,"嘉義縣","東石鄉"
"路口交岔撞","2023",1,9,11,"晴","日間自然光線",50,"四岔路","交叉路口內","柏油","乾燥","不良","正常","無","未繪設快慢車道分隔線","無",51,"未使用",120.168455,23.475964,"嘉義縣","東石鄉"
"路口交岔撞","2023",1,9,11,"晴","日間自然光線",50,"四岔路","交叉路口內","柏油","乾燥","不良","正常","無","未繪設快慢車道分隔線","無",81,"非駕駛人",120.168455,23.475964,"嘉義縣","東石鄉"
"側撞","2023",1,9,14,"晴","日間自然光線",40,"四岔路","交叉路口內","柏油","乾燥","良好","正常","無","未繪設快慢車道分隔線","無",78,"未使用",120.246013,23.75049,"雲林縣","麥寮鄉"
"側撞","2023",1,9,14,"晴","日間自然光線",40,"四岔路","交叉路口內","柏油","乾燥","良好","正常","無","未繪設快慢車道分隔線","無",33,"不明",120.246013,23.75049,"雲林縣","麥寮鄉"
"路口交岔撞","2023",1,9,15,"晴","日間自然光線",70,"四岔路","交叉路口內","柏油","乾燥","良好","正常","中央分向島","未繪設快慢車道分隔線","有",78,"未使用",120.65511,24.003074,"南投縣","草屯鎮"
"路口交岔撞","2023",1,9,15,"晴","日間自然光線",70,"四岔路","交叉路口內","柏油","乾燥","良好","正常","中央分向島","未繪設快慢車道分隔線","有",48,"未使用",120.65511,24.003074,"南投縣","草屯鎮"
"側撞","2023",1,9,15,"陰","日間自然光線",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","行車分向線","未繪設快慢車道分隔線","有",28,"未使用",120.449063,23.782559,"雲林縣","西螺鎮"
"側撞","2023",1,9,15,"陰","日間自然光線",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","行車分向線","未繪設快慢車道分隔線","有",36,"未使用",120.449063,23.782559,"雲林縣","西螺鎮"
"穿越道路中","2023",1,10,5,"晴","夜間(或隧道、地下道、涵洞)有照明",50,"彎曲路及附近","快車道","柏油","乾燥","良好","無號誌","雙向禁止超車線","快慢車道分隔線","有",78,"非駕駛人",120.403941,23.590629,"嘉義縣","溪口鄉"
"穿越道路中","2023",1,10,5,"晴","夜間(或隧道、地下道、涵洞)有照明",50,"彎曲路及附近","快車道","柏油","乾燥","良好","無號誌","雙向禁止超車線","快慢車道分隔線","有",59,"未使用",120.403941,23.590629,"嘉義縣","溪口鄉"
"穿越道路中","2023",1,10,7,"晴","日間自然光線",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","行車分向線","未繪設快慢車道分隔線","有",38,"未使用",121.172669,24.901374,"桃園市","楊梅區"
"穿越道路中","2023",1,10,7,"晴","日間自然光線",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","行車分向線","未繪設快慢車道分隔線","有",66,"非駕駛人",121.172669,24.901374,"桃園市","楊梅區"
"其他","2023",1,10,9,"晴","日間自然光線",30,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","無","未繪設快慢車道分隔線","有",73,"未使用",120.4144,23.627414,"雲林縣","大埤鄉"
"追撞","2023",1,10,14,"晴","日間自然光線",50,"彎曲路及附近","一般車道(未劃分快慢車道)","柏油","乾燥","不良","無號誌","中央分向島","未繪設快慢車道分隔線","有",21,"未使用",120.421825,22.935814,"臺南市","龍崎區"
"追撞","2023",1,10,14,"晴","日間自然光線",50,"彎曲路及附近","一般車道(未劃分快慢車道)","柏油","乾燥","不良","無號誌","中央分向島","未繪設快慢車道分隔線","有",39,"未使用",120.421825,22.935814,"臺南市","龍崎區"
"同向擦撞","2023",1,10,14,"晴","日間自然光線",50,"直路","快車道","柏油","乾燥","良好","無號誌","中央分向島","快慢車道分隔線","有",55,"未使用",120.205427,22.999741,"臺南市","北區"
"同向擦撞","2023",1,10,14,"晴","日間自然光線",50,"直路","快車道","柏油","乾燥","良好","無號誌","中央分向島","快慢車道分隔線","有",54,"未使用",120.205427,22.999741,"臺南市","北區"
"穿越道路中","2023",1,10,22,"陰","夜間(或隧道、地下道、涵洞)有照明",60,"四岔路","交叉路口內","柏油","乾燥","良好","正常","行車分向線","快慢車道分隔線","有",61,"非駕駛人",120.517818,24.068971,"彰化縣","彰化市"
"穿越道路中","2023",1,10,22,"陰","夜間(或隧道、地下道、涵洞)有照明",60,"四岔路","交叉路口內","柏油","乾燥","良好","正常","行車分向線","快慢車道分隔線","有",22,"未使用",120.517818,24.068971,"彰化縣","彰化市"
"撞路樹、電桿","2023",1,10,23,"晴","夜間(或隧道、地下道、涵洞)有照明",30,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","行車分向線","未繪設快慢車道分隔線","有",69,"未使用",120.931634,23.79066,"南投縣","水里鄉"
"衝出路外","2023",1,10,23,"晴","夜間(或隧道、地下道、涵洞)有照明",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","無","未繪設快慢車道分隔線","有",38,"不明",120.962972,23.98915,"南投縣","埔里鎮"
"穿越道路中","2023",1,11,5,"陰","夜間(或隧道、地下道、涵洞)有照明",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","雙向禁止超車線","未繪設快慢車道分隔線","無",85,"非駕駛人",121.484736,25.138029,"臺北市","北投區"
"穿越道路中","2023",1,11,5,"陰","夜間(或隧道、地下道、涵洞)有照明",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","雙向禁止超車線","未繪設快慢車道分隔線","無",81,"未使用",121.484736,25.138029,"臺北市","北投區"
"路口交岔撞","2023",1,11,7,"陰","日間自然光線",50,"四岔路","交叉路口內","柏油","乾燥","不良","正常","雙向禁止超車線","未繪設快慢車道分隔線","有",40,"不明",120.480328,24.069852,"彰化縣","鹿港鎮"
"路口交岔撞","2023",1,11,7,"陰","日間自然光線",50,"四岔路","交叉路口內","柏油","乾燥","不良","正常","雙向禁止超車線","未繪設快慢車道分隔線","有",27,"不明",120.480328,24.069852,"彰化縣","鹿港鎮"
"側撞","2023",1,11,15,"晴","日間自然光線",30,"三岔路","交叉路口內","柏油","乾燥","良好","無號誌","無","未繪設快慢車道分隔線","無",87,"未使用",120.315288,23.335885,"臺南市","後壁區"
"側撞","2023",1,11,15,"晴","日間自然光線",30,"三岔路","交叉路口內","柏油","乾燥","良好","無號誌","無","未繪設快慢車道分隔線","無",32,"使用免持或未有礙駕駛安全",120.315288,23.335885,"臺南市","後壁區"
"穿越道路中","2023",1,11,15,"晴","日間自然光線",50,"三岔路","交叉口附近","柏油","乾燥","良好","無號誌","無","未繪設快慢車道分隔線","無",90,"非駕駛人",121.283981,24.900127,"桃園市","大溪區"
"穿越道路中","2023",1,11,15,"晴","日間自然光線",50,"三岔路","交叉口附近","柏油","乾燥","良好","無號誌","無","未繪設快慢車道分隔線","無",52,"未使用",121.283981,24.900127,"桃園市","大溪區"
"其他","2023",1,11,18,"陰","夜間(或隧道、地下道、涵洞)有照明",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","無","未繪設快慢車道分隔線","有",71,"未使用",121.188213,24.960911,"桃園市","平鎮區"
"其他","2023",1,11,18,"陰","夜間(或隧道、地下道、涵洞)有照明",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","無","未繪設快慢車道分隔線","有",74,"未使用",121.188213,24.960911,"桃園市","平鎮區"
"其他","2023",1,11,18,"陰","夜間(或隧道、地下道、涵洞)有照明",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","無","未繪設快慢車道分隔線","有",23,"未使用",121.188213,24.960911,"桃園市","平鎮區"
"穿越道路中","2023",1,11,20,"雨","夜間(或隧道、地下道、涵洞)有照明",50,"直路","快車道","柏油","濕潤","良好","無號誌","雙向禁止超車線","快慢車道分隔線","有",68,"非駕駛人",121.184025,22.789541,"臺東縣","臺東市"
"穿越道路中","2023",1,11,20,"雨","夜間(或隧道、地下道、涵洞)有照明",50,"直路","快車道","柏油","濕潤","良好","無號誌","雙向禁止超車線","快慢車道分隔線","有",70,"未使用",121.184025,22.789541,"臺東縣","臺東市"
"撞號誌、標誌桿","2023",1,11,23,"陰","夜間(或隧道、地下道、涵洞)有照明",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","雙向禁止超車線","未繪設快慢車道分隔線","有",33,"未使用",121.188608,24.907117,"桃園市","平鎮區"
"撞號誌、標誌桿","2023",1,11,23,"陰","夜間(或隧道、地下道、涵洞)有照明",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","雙向禁止超車線","未繪設快慢車道分隔線","有",30,"未使用",121.188608,24.907117,"桃園市","平鎮區"
"撞號誌、標誌桿","2023",1,11,23,"陰","夜間(或隧道、地下道、涵洞)有照明",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","雙向禁止超車線","未繪設快慢車道分隔線","有",29,"未使用",121.188608,24.907117,"桃園市","平鎮區"
"追撞","2023",1,12,4,"陰","夜間(或隧道、地下道、涵洞)有照明",50,"三岔路","交叉口附近","柏油","乾燥","良好","無號誌","雙向禁止超車線","未繪設快慢車道分隔線","有",36,"不明",118.319301,24.445135,"金門縣","金寧鄉"
"追撞","2023",1,12,4,"陰","夜間(或隧道、地下道、涵洞)有照明",50,"三岔路","交叉口附近","柏油","乾燥","良好","無號誌","雙向禁止超車線","未繪設快慢車道分隔線","有",74,"不明",118.319301,24.445135,"金門縣","金寧鄉"
"其他","2023",1,12,5,"晴","晨或暮光",50,"三岔路","交叉口附近","柏油","乾燥","良好","正常","無","未繪設快慢車道分隔線","無",21,"不明",121.767687,25.151447,"基隆市","中正區"
"其他","2023",1,12,5,"晴","晨或暮光",50,"三岔路","交叉口附近","柏油","乾燥","良好","正常","無","未繪設快慢車道分隔線","無",51,"非駕駛人",121.767687,25.151447,"基隆市","中正區"
"其他","2023",1,12,5,"晴","晨或暮光",50,"三岔路","交叉口附近","柏油","乾燥","良好","正常","無","未繪設快慢車道分隔線","無",53,"不明",121.767687,25.151447,"基隆市","中正區"
"其他","2023",1,12,5,"晴","晨或暮光",50,"三岔路","交叉口附近","柏油","乾燥","良好","正常","無","未繪設快慢車道分隔線","無",46,"不明",121.767687,25.151447,"基隆市","中正區"
"撞路樹、電桿","2023",1,12,10,"晴","日間自然光線",60,"直路","路肩、路緣","柏油","乾燥","良好","無號誌","中央分向島","快慢車道分隔線","有",20,"未使用",120.193936,22.882632,"高雄市","茄萣區"
"撞路樹、電桿","2023",1,12,10,"晴","日間自然光線",60,"直路","路肩、路緣","柏油","乾燥","良好","無號誌","中央分向島","快慢車道分隔線","有",112,"",120.193936,22.882632,"高雄市","茄萣區"
"側撞","2023",1,12,12,"晴","日間自然光線",50,"四岔路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","正常","行車分向線","未繪設快慢車道分隔線","無",28,"未使用",120.68929,24.084165,"臺中市","大里區"
"側撞","2023",1,12,12,"晴","日間自然光線",50,"四岔路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","正常","行車分向線","未繪設快慢車道分隔線","無",18,"未使用",120.68929,24.084165,"臺中市","大里區"
"路口交岔撞","2023",1,12,16,"晴","日間自然光線",50,"四岔路","交叉路口內","柏油","乾燥","良好","正常","無","未繪設快慢車道分隔線","無",60,"未使用",120.17892,23.019181,"臺南市","南區"
"路口交岔撞","2023",1,12,16,"晴","日間自然光線",50,"四岔路","交叉路口內","柏油","乾燥","良好","正常","無","未繪設快慢車道分隔線","無",30,"未使用",120.17892,23.019181,"臺南市","南區"
"其他","2023",1,12,21,"陰","夜間(或隧道、地下道、涵洞)有照明",70,"直路","慢車道","柏油","乾燥","良好","無號誌","中央分向島","快慢車道分隔線","有",32,"未使用",121.3774,23.541715,"花蓮縣","瑞穗鄉"
