"事故類型及型態子類別名稱","發生年度","發生月份","發生日期","發生時間","天候名稱","光線名稱","速限.第1當事者","道路型態子類別名稱","事故位置子類別名稱","路面狀況.路面鋪裝名稱","路面狀況.路面狀態名稱","道路障礙.視距品質名稱","號誌.號誌動作名稱","車道劃分設施.分向設施大類別名稱","車道劃分設施.分道設施.快慢車道間名稱","車道劃分設施.分道設施.路面邊線名稱","當事者事故發生時年齡","行動電話或電腦或其他相類功能裝置名稱","經度","緯度","縣市","鄉鎮"
"撞路樹、電桿","2023",1,1,14,"晴","日間自然光線",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","行車分向線","未繪設快慢車道分隔線","有",44,"未使用",120.322165,23.774017,"雲林縣","崙背鄉"
"撞護欄(樁)","2023",1,1,14,"陰","日間自然光線",50,"四岔路","交叉路口內","柏油","乾燥","良好","正常","無","未繪設快慢車道分隔線","無",20,"未使用",120.14672,23.293584,"臺南市","北門區"
"撞護欄(樁)","2023",1,1,14,"陰","日間自然光線",50,"四岔路","交叉路口內","柏油","乾燥","良好","正常","無","未繪設快慢車道分隔線","無",19,"不明",120.14672,23.293584,"臺南市","北門區"
"撞護欄(樁)","2023",1,1,14,"陰","日間自然光線",50,"四岔路","交叉路口內","柏油","乾燥","良好","正常","無","未繪設快慢車道分隔線","無",22,"不明",120.14672,23.293584,"臺南市","北門區"
"撞護欄(樁)","2023",1,1,14,"陰","日間自然光線",50,"四岔路","交叉路口內","柏油","乾燥","良好","正常","無","未繪設快慢車道分隔線","無",17,"非駕駛人",120.14672,23.293584,"臺南市","北門區"
"撞護欄(樁)","2023",1,1,14,"陰","日間自然光線",50,"四岔路","交叉路口內","柏油","乾燥","良好","正常","無","未繪設快慢車道分隔線","無",15,"非駕駛人",120.14672,23.293584,"臺南市","北門區"
"側撞","2023",1,1,19,"晴","夜間(或隧道、地下道、涵洞)有照明",50,"四岔路","交叉路口內","柏油","乾燥","良好","正常","無","未繪設快慢車道分隔線","無",29,"未使用",120.983089,24.802194,"新竹市","東區"
"側撞","2023",1,1,19,"晴","夜間(或隧道、地下道、涵洞)有照明",50,"四岔路","交叉路口內","柏油","乾燥","良好","正常","無","未繪設快慢車道分隔線","無",60,"未使用",120.983089,24.802194,"新竹市","東區"
"對撞","2023",1,2,8,"雨","日間自然光線",40,"直路","一般車道(未劃分快慢車道)","柏油","濕潤","良好","無號誌","行車分向線","未繪設快慢車道分隔線","有",23,"未使用",121.281553,24.946257,"桃園市","八德區"
"對撞","2023",1,2,8,"雨","日間自然光線",40,"直路","一般車道(未劃分快慢車道)","柏油","濕潤","良好","無號誌","行車分向線","未繪設快慢車道分隔線","有",36,"未使用",121.281553,24.946257,"桃園市","八德區"
"對撞","2023",1,2,8,"雨","日間自然光線",40,"直路","一般車道(未劃分快慢車道)","柏油","濕潤","良好","無號誌","行車分向線","未繪設快慢車道分隔線","有",73,"未使用",121.281553,24.946257,"桃園市","八德區"
"撞交通島","2023",1,2,13,"晴","日間自然光線",60,"彎曲路及附近","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","中央分向島","未繪設快慢車道分隔線","有",23,"未使用",121.45,25.033333,"新北市","新莊區"
"其他","2023",1,2,13,"雨","日間自然光線",50,"直路","其他","柏油","濕潤","良好","無號誌","行車分向線","快慢車道分隔線","有",62,"不明",120.352877,23.180791,"臺南市","官田區"
"其他","2023",1,2,13,"雨","日間自然光線",50,"直路","其他","柏油","濕潤","良好","無號誌","行車分向線","快慢車道分隔線","有",21,"不明",120.352877,23.180791,"臺南市","官田區"
"路上翻車、摔倒","2023",1,2,14,"雨","日間自然光線",40,"彎曲路及附近","一般車道(未劃分快慢車道)","柏油","濕潤","良好","無號誌","雙向禁止超車線","未繪設快慢車道分隔線","有",30,"未使用",121.567701,24.95164,"新北市","新店區"
"路上翻車、摔倒","2023",1,2,14,"雨","日間自然光線",40,"彎曲路及附近","一般車道(未劃分快慢車道)","柏油","濕潤","良好","無號誌","雙向禁止超車線","未繪設快慢車道分隔線","有",29,"未使用",121.567701,24.95164,"新北市","新店區"
"路口交岔撞","2023",1,3,14,"晴","日間自然光線",50,"四岔路","交叉路口內","柏油","乾燥","良好","無號誌","無","未繪設快慢車道分隔線","無",54,"未使用",120.338083,22.657196,"高雄市","鳥松區"
"路口交岔撞","2023",1,3,14,"晴","日間自然光線",50,"四岔路","交叉路口內","柏油","乾燥","良好","無號誌","無","未繪設快慢車道分隔線","無",49,"未使用",120.338083,22.657196,"高雄市","鳥松區"
"路口交岔撞","2023",1,3,14,"晴","日間自然光線",50,"四岔路","交叉路口內","柏油","乾燥","良好","無號誌","無","未繪設快慢車道分隔線","無",54,"非駕駛人",120.338083,22.657196,"高雄市","鳥松區"
"同向通行中","2023",1,4,6,"晴","晨或暮光",30,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","不良","無號誌","無","未繪設快慢車道分隔線","有",62,"未使用",120.69513,23.899078,"南投縣","南投市"
"同向通行中","2023",1,4,6,"晴","晨或暮光",30,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","不良","無號誌","無","未繪設快慢車道分隔線","有",65,"非駕駛人",120.69513,23.899078,"南投縣","南投市"
"路口交岔撞","2023",1,4,16,"晴","日間自然光線",30,"四岔路","交叉路口內","柏油","乾燥","良好","無號誌","無","未繪設快慢車道分隔線","有",38,"未使用",121.184786,24.996004,"桃園市","中壢區"
"路口交岔撞","2023",1,4,16,"晴","日間自然光線",30,"四岔路","交叉路口內","柏油","乾燥","良好","無號誌","無","未繪設快慢車道分隔線","有",35,"未使用",121.184786,24.996004,"桃園市","中壢區"
"路口交岔撞","2023",1,4,16,"晴","日間自然光線",30,"四岔路","交叉路口內","柏油","乾燥","良好","無號誌","無","未繪設快慢車道分隔線","有",61,"非駕駛人",121.184786,24.996004,"桃園市","中壢區"
"其他","2023",1,5,6,"晴","日間自然光線",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","行車分向線","未繪設快慢車道分隔線","有",39,"未使用",121.460179,25.077731,"新北市","五股區"
