"事故類型及型態子類別名稱","發生年度","發生月份","發生日期","發生時間","天候名稱","光線名稱","速限.第1當事者","道路型態子類別名稱","事故位置子類別名稱","路面狀況.路面鋪裝名稱","路面狀況.路面狀態名稱","道路障礙.視距品質名稱","號誌.號誌動作名稱","車道劃分設施.分向設施大類別名稱","車道劃分設施.分道設施.快慢車道間名稱","車道劃分設施.分道設施.路面邊線名稱","當事者事故發生時年齡","行動電話或電腦或其他相類功能裝置名稱","經度","緯度","縣市","鄉鎮"
"其他","2021",1,1,4,"晴","夜間(或隧道、地下道、涵洞)有照明",60,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","行車分向線","未繪設快慢車道分隔線","有",17,"未使用",120.560111,22.567105,"屏東縣","萬巒鄉"
"其他","2021",1,1,4,"晴","夜間(或隧道、地下道、涵洞)有照明",60,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","行車分向線","未繪設快慢車道分隔線","有",73,"未使用",120.560111,22.567105,"屏東縣","萬巒鄉"
"側撞","2021",1,1,4,"晴","晨或暮光",30,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","正常","雙向禁止超車線","未繪設快慢車道分隔線","有",36,"未使用",120.680001,24.070698,"臺中市","霧峰區"
"側撞","2021",1,1,4,"晴","晨或暮光",30,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","正常","雙向禁止超車線","未繪設快慢車道分隔線","有",35,"未使用",120.680001,24.070698,"臺中市","霧峰區"
"對撞","2021",1,1,7,"晴","日間自然光線",30,"彎曲路及附近","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","無","未繪設快慢車道分隔線","有",20,"未使用",121.303376,24.191833,"南投縣","仁愛鄉"
"對撞","2021",1,1,7,"晴","日間自然光線",30,"彎曲路及附近","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","無","未繪設快慢車道分隔線","有",67,"未使用",121.303376,24.191833,"南投縣","仁愛鄉"
"其他","2021",1,1,9,"晴","日間自然光線",60,"三岔路","交叉路口內","柏油","乾燥","良好","正常","中央分向島","快慢車道分隔線","有",69,"未使用",120.536745,24.252353,"臺中市","梧棲區"
"其他","2021",1,1,9,"晴","日間自然光線",60,"三岔路","交叉路口內","柏油","乾燥","良好","正常","中央分向島","快慢車道分隔線","有",41,"未使用",120.536745,24.252353,"臺中市","梧棲區"
"側撞","2021",1,1,13,"陰","日間自然光線",50,"三岔路","交叉路口內","柏油","乾燥","良好","正常","無","未繪設快慢車道分隔線","有",20,"未使用",121.465555,25.041909,"新北市","新莊區"
"側撞","2021",1,1,13,"陰","日間自然光線",50,"三岔路","交叉路口內","柏油","乾燥","良好","正常","無","未繪設快慢車道分隔線","有",26,"未使用",121.465555,25.041909,"新北市","新莊區"
