"事故類型及型態子類別名稱","發生年度","發生月份","發生日期","發生時間","天候名稱","光線名稱","速限.第1當事者","道路型態子類別名稱","事故位置子類別名稱","路面狀況.路面鋪裝名稱","路面狀況.路面狀態名稱","道路障礙.視距品質名稱","號誌.號誌動作名稱","車道劃分設施.分向設施大類別名稱","車道劃分設施.分道設施.快慢車道間名稱","車道劃分設施.分道設施.路面邊線名稱","當事者事故發生時年齡","行動電話或電腦或其他相類功能裝置名稱","經度","緯度","縣市","鄉鎮"
"撞號誌、標誌桿","2022",1,1,2,"晴","夜間(或隧道、地下道、涵洞)有照明",50,"直路","路肩、路緣","柏油","乾燥","良好","無號誌","行車分向線","未繪設快慢車道分隔線","有",17,"未使用",120.411444,23.686485,"雲林縣","虎尾鎮"
"追撞","2022",1,1,6,"晴","晨或暮光",110,"直路","快車道","柏油","乾燥","良好","無號誌","中央分向島","未繪設快慢車道分隔線","有",34,"未使用",120.489248,22.733474,"屏東縣","九如鄉"
"追撞","2022",1,1,6,"晴","晨或暮光",110,"直路","快車道","柏油","乾燥","良好","無號誌","中央分向島","未繪設快慢車道分隔線","有",43,"不明",120.489248,22.733474,"屏東縣","九如鄉"
"追撞","2022",1,1,6,"晴","晨或暮光",110,"直路","快車道","柏油","乾燥","良好","無號誌","中央分向島","未繪設快慢車道分隔線","有",56,"未使用",120.489248,22.733474,"屏東縣","九如鄉"
"衝出路外","2022",1,1,16,"晴","夜間(或隧道、地下道、涵洞)有照明",40,"隧道","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","單向禁止超車線","未繪設快慢車道分隔線","有",24,"未使用",121.830743,24.490639,"宜蘭縣","南澳鄉"
"衝出路外","2022",1,1,19,"晴","夜間(或隧道、地下道、涵洞)有照明",30,"直路","其他","柏油","乾燥","良好","無號誌","雙向禁止超車線","未繪設快慢車道分隔線","有",18,"未使用",121.143864,24.026,"南投縣","仁愛鄉"
"衝出路外","2022",1,1,19,"晴","夜間(或隧道、地下道、涵洞)有照明",30,"直路","其他","柏油","乾燥","良好","無號誌","雙向禁止超車線","未繪設快慢車道分隔線","有",19,"非駕駛人",121.143864,24.026,"南投縣","仁愛鄉"
"其他","2022",1,1,19,"晴","夜間(或隧道、地下道、涵洞)有照明",50,"三岔路","交叉口附近","柏油","乾燥","良好","無號誌","中央分向島","未繪設快慢車道分隔線","有",68,"非駕駛人",120.478264,22.672831,"屏東縣","屏東市"
"其他","2022",1,1,19,"晴","夜間(或隧道、地下道、涵洞)有照明",50,"三岔路","交叉口附近","柏油","乾燥","良好","無號誌","中央分向島","未繪設快慢車道分隔線","有",22,"未使用",120.478264,22.672831,"屏東縣","屏東市"
"其他","2022",1,2,8,"晴","日間自然光線",50,"四岔路","交叉路口內","柏油","乾燥","良好","正常","中央分向島","快慢車道分隔線","有",20,"未使用",121.769642,24.69355,"宜蘭縣","五結鄉"
